ABSTRACTIONID,java.lang.ArithmeticException,java.lang.ArrayIndexOutOfBoundsException,java.lang.ArrayStoreException,java.lang.ClassCastException,java.lang.Error,java.lang.IllegalArgumentException,java.lang.IllegalMonitorStateException,java.lang.IllegalStateException,java.lang.IndexOutOfBoundsException,java.lang.NegativeArraySizeException,java.lang.NullPointerException,java.lang.NumberFormatException,java.lang.OutOfMemoryError,java.lang.RuntimeException,java.lang.StackOverflowError,java.lang.StringIndexOutOfBoundsException,java.lang.UnsupportedOperationException,java.util.ConcurrentModificationException,java.util.EmptyStackException,java.util.FormatFlagsConversionMismatchException,java.util.IllegalFormatConversionException,java.util.IllegalFormatPrecisionException,java.util.IllegalFormatWidthException,java.util.InputMismatchException,java.util.MissingFormatArgumentException,java.util.MissingFormatWidthException,java.util.NoSuchElementException,java.util.UnknownFormatConversionException,java.util.regex.PatternSyntaxException,Total Outputs
HumanEval_0_has_close_elements,0,7,0,0,0,0,0,0,158,0,7,0,0,7,0,0,0,7,0,0,0,0,0,0,0,0,2,0,0,188
HumanEval_100_make_a_pile,0,0,0,0,0,0,966,0,7,0,5,0,441,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1438
HumanEval_101_words_string,0,6,0,0,0,0,0,0,0,0,0,0,0,0,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,20
HumanEval_102_choose_num,48,8,0,0,0,0,0,0,0,4,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,2,0,0,98
HumanEval_104_unique_digits,4,0,0,16,0,4,0,0,11,0,0,11,8,12,0,0,8,0,0,0,0,0,0,0,0,0,2,0,0,76
HumanEval_105_by_length,0,1,0,956,0,0,0,0,6,1,0,5,6,0,19,4,0,5,0,0,0,0,0,0,0,0,2,0,0,1005
HumanEval_106_f,0,0,0,0,4,0,624,0,51,0,0,0,8,8,9,0,24,0,0,0,0,0,0,0,0,0,0,0,0,728
HumanEval_107_even_odd_palindrome,0,24,0,0,0,0,1112,0,0,0,0,0,1,24,0,24,128,0,0,0,0,0,0,0,0,0,0,0,0,1313
HumanEval_108_count_nums,20,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
HumanEval_109_move_one_ball,0,9,4,484,0,0,0,0,175,0,0,0,8,0,31,0,0,0,8,0,0,0,0,0,0,0,1,0,0,720
HumanEval_10_make_palindrome,0,30,0,0,0,4,0,0,5,0,0,0,2,2,32,343,5,0,0,0,0,0,0,0,0,0,0,0,5,428
HumanEval_110_exchange,0,0,0,1063,0,0,0,0,48,0,4,0,0,14,7,0,42,7,0,0,0,0,0,0,0,0,0,0,0,1185
HumanEval_111_histogram,0,0,0,0,0,8,0,0,0,0,132,0,0,36,0,24,128,0,0,0,0,0,0,0,0,0,0,0,0,328
HumanEval_112_reverse_delete,0,283,0,0,0,0,0,0,269,0,0,0,0,27,0,786,40,0,4,0,0,0,0,0,0,0,0,0,27,1436
HumanEval_113_odd_count,0,4,0,0,0,0,0,0,1,0,0,3,0,0,0,13,0,0,0,0,99,0,0,0,30,0,0,0,0,150
HumanEval_114_minSubArraySum,0,0,0,0,0,0,0,0,133,0,5,0,0,12,24,0,12,0,0,0,0,0,0,0,0,0,3,0,0,189
HumanEval_115_max_fill,0,58,0,0,0,0,0,0,0,0,0,0,0,5,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,78
HumanEval_116_sort_array,8,42,0,1344,0,1,0,0,468,0,7,5,7,19,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1909
HumanEval_117_select_words,0,0,0,0,0,0,0,0,0,0,0,0,6,35,1,6,28,0,0,0,0,0,0,0,0,0,0,0,5,81
HumanEval_118_get_closest_vowel,0,1,0,0,0,0,0,0,0,2,0,0,0,13,0,106,13,0,0,0,0,0,0,0,0,0,0,0,0,135
HumanEval_119_match_parens,0,2,0,0,12,13,0,0,36,0,18,0,9,48,26,40,48,0,96,0,0,0,0,0,0,0,0,0,12,360
HumanEval_11_string_xor,0,9,3,0,0,2,0,0,0,0,2,2,0,1,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,76
HumanEval_120_maximum,2,0,0,0,0,1,0,0,51,0,10,0,10,1,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111
HumanEval_122_add_elements,1,0,0,0,5,5,0,0,34,0,0,0,0,0,9,0,5,0,0,0,0,0,0,0,0,0,1,0,0,60
HumanEval_123_get_odd_collatz,0,0,0,0,0,4,320,0,3,0,0,0,83,4,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,470
HumanEval_124_valid_date,0,862,0,0,0,10,0,0,0,0,0,166,0,0,0,33,0,0,0,0,0,0,0,0,0,0,5,0,0,1076
HumanEval_126_is_sorted,0,0,0,43,39,0,0,0,280,0,0,0,0,13,0,0,26,0,0,0,0,0,0,0,0,0,1,0,0,402
HumanEval_127_intersection,6,0,0,224,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,238
HumanEval_128_prod_signs,4,0,0,0,0,0,0,0,10,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,26
HumanEval_129_minPath,0,117,0,0,0,0,0,0,296,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,424
HumanEval_12_longest,0,2,0,0,0,0,0,0,2,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,61
HumanEval_130_tri,0,0,0,9,0,0,20,0,2021,0,0,0,26,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2178
HumanEval_131_digits,0,0,0,0,0,0,63,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65
HumanEval_132_is_nested,0,38,0,0,0,0,0,0,17,0,0,0,0,1,26,84,0,0,77,0,0,0,0,0,0,0,0,0,42,285
HumanEval_133_sum_squares,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,48
HumanEval_134_check_if_last_char_is_a_letter,0,7,0,0,0,1,0,0,0,0,0,0,9,0,0,383,50,0,0,0,0,0,0,0,0,0,0,0,0,450
HumanEval_135_can_arrange,0,438,0,0,0,3,0,0,1085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1534
HumanEval_136_largest_smallest_integers,0,0,0,247,0,10,0,0,2,0,17,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,35,0,0,388
HumanEval_138_is_equal_to_sum_even,78,4,0,0,0,0,0,0,0,0,0,8,0,24,19,0,96,0,0,0,0,0,0,0,0,0,0,0,0,229
HumanEval_13_greatest_common_divisor,250,0,0,0,0,2,0,0,4,0,0,0,0,2,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,302
HumanEval_140_fix_spaces,0,4,0,0,0,0,0,0,0,0,0,0,0,10,0,27,25,0,0,0,0,0,0,0,0,0,0,0,0,66
HumanEval_141_file_name_check,0,413,0,0,0,0,0,0,1,0,0,0,0,26,0,217,52,0,0,0,0,0,0,0,0,0,34,0,0,743
HumanEval_142_sum_squares,4,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,40
HumanEval_143_words_in_sentence,18,45,0,0,0,0,0,0,5,0,0,77,0,0,0,20,7,5,0,0,0,0,0,0,0,0,0,0,0,177
HumanEval_144_simplify,15,0,0,0,0,0,0,0,0,0,0,1255,8,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1291
HumanEval_145_order_by_points,0,21,0,520,0,2,0,0,184,0,27,150,12,0,3,5,0,5,0,0,0,0,0,0,0,0,0,0,0,929
HumanEval_146_specialFilter,2,0,7,0,0,2,0,0,4,0,0,0,0,15,0,4,14,0,0,0,0,0,0,0,0,0,1,0,0,49
